produto;categoria;usuario;data_comentario;recomendacao;resumo;descricao
Smartphone Asus ZenFone Go 8GB;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;25/10/2016;Recomendo este produto;smartphone de entrada ótimo ?;Apesar de ser um celular entrada é um ótimo custo beneficio.
Smartphone Asus ZenFone Go 8GB;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;07/08/2017;Recomendo este produto;Zenfone go muito bom;Produto bom pelo preço
Smartphone Asus ZenFone Go 8GB;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;25/07/2017;Recomendo este produto;Zenfone go;Ótimo produto pelo preço que custa
Smartphone Asus ZenFone Go 8GB;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;07/07/2017;Recomendo este produto;Otimo.so a camera poderia ser melhor;Muito boa
Smartphone Asus ZenFone Go 8GB;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;26/06/2017;Recomendo este produto;Otimo produto;A unica coisa negativa, é o trabalho de por ou tentar por tudo em um cartao sd porque a memoria do cel é curta. A camera frontal nao é das melhores mas da pra usar de boa. Custo beneficio excelente e no geral nao tenho o que reclamar.
Smartphone Asus ZenFone Go 8GB;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;20/06/2017;Recomendo este produto;Produto bom;Produto bom pra que não tem muita frescura com celular
Smartphone Asus ZenFone Go 8GB;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;19/06/2017;Recomendo este produto;Ótimo produto, recomendo a todos....;O produto é excelente, ótimo designer, atendeu a todas as minhas expectativas...
Smartphone Asus ZenFone Go 8GB;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";Cristiana Ferreira de Araujo Oliveira;31/03/2017;Recomendo este produto;Ótimo custo benefício;Tirando o fato de a câmera só ter 5mp, o custo benefício dele é muito alto pois só o processador é snapdragon 400 que é ótimo para rodar videos em HD e jogos 3D.
Smartphone Asus ZenFone Go 8GB;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;26/03/2017;Recomendo este produto;Teclado ruim;Achei o teclado muito confuso... o meu celular anterior tinha a tela menor e eu ñ teclava com tanto erro...
Smartphone Asus ZenFone Go 8GB;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;20/02/2017;Recomendo este produto;ótimo;Tudo ok! bom aparelho!
Smartphone Asus ZenFone Go 8GB;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";Andressa ribeiro dos santos;18/02/2017;Recomendo este produto;muito bom;n sei
Smartphone Asus ZenFone Go 8GB;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;13/02/2017;Recomendo este produto;Bom custo beneficio,;Pesquisei bastante antes de comprar e estou satisfeita com o produto. A ASUS é uma marca reconhecida em processamento gráfico. Neste aparelho pensado para um público mais abrangente, ela não peca em qualidade a um preço acessível. Minha opinião pessoal é que supera seus concorrentes Samsung e LG do mesmo segmento.
Smartphone Asus ZenFone Go 8GB;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;02/02/2017;Recomendo este produto;Smartphone de entrada, mas de CxB;Produto atende as necessidades e cumpre bem o que esta descrito. Poderia ter uma bateria mais potente mas pra uso básico diário (telefone e redes sociais) isso não atrapalha. Pra quem gosta de jogos e aplicativos mais complexos se torna meio chato a dependencia de recargas.
Smartphone Asus ZenFone Go 8GB;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";Juliana Linhares;26/01/2017;Recomendo este produto;Bom custo-benefício;É um celular bom para quem quer um smartphone barato e para uso do dia-a-dia. A câmera não é muito legal para quem gosta de fotos, mas não é muito ruim.
Smartphone Quantum MÜV;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;19/02/2017;Recomendo este produto;Excelente aquisição;Gostei muito, a funcionalidade, a camera, a tela, tudo excelente.
Smartphone Quantum MÜV;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;16/07/2017;Recomendo este produto;Bom custo benefiçio;Produto bom,  mais peca no desempenho por só ter 1 gb de memória RAM
Smartphone Quantum MÜV;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";Igor  Monteiro;12/07/2017;Recomendo este produto;ótimo;ótimo, não trava, aparelho bonito, ótima marca a QUANTUM
Smartphone Asus ZenFone Go 16GB;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";Marilza;23/10/2015;Recomendo este produto;Asus: quem não tem, ainda vai ter um!;Ótimo smartfhone. Asus não fica devendo nada a outros fabricantes.
Smartphone Asus ZenFone Go 16GB;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";Gusttavo Leminsk;05/11/2015;Recomendo este produto;Simplesmente incrivel!;Só de ver as configurações dele pirei, para uso de jogos consegue ser melhor que o Moto g 2015  FANTASTICO ESSE APARELHO!!!
Smartphone Asus ZenFone Go 16GB;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";willan;26/11/2015;Recomendo este produto;muito bom;otimo desenpenho
Smartphone Asus ZenFone Go 16GB;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";Ednilson;02/11/2015;Recomendo este produto;Esse Produto é Ótimo, Excelente Escolha Para Se Comprar!;Foi Excelente, Apenas Com Um Ponto Fraco Na Bateria e Na Câmera... Mas Afinal Qual é o Celular Que Não Tem Seus Defeitos?? rsrs
Smartphone Asus ZenFone Go 16GB;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;20/11/2015;Recomendo este produto;ótimo;Ainda estou aprendendo a manusear mas é muito bom
Smartphone Asus ZenFone Go 16GB;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";felipe dela libera;23/11/2015;Recomendo este produto;fantastico;perfeito esse celular otima memoria,camera,processador tudo de bom
Smartphone Alcatel Pixi 4 (5) 5045;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;13/03/2017;Recomendo este produto;Adorei;Gostei muito, telefone lindo! Custo benefício maravilhoso!
Smartphone Alcatel Pixi 4 (5) 5045;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;26/06/2017;Recomendo este produto;Muito bom;Eu gostei muito dele! A bateria pra quem não fica muito na internet dura bem. Fácil de usar, preço muito acessível, único ponto que não gostei muito foi a câmera,  porque tenho um Samsung J7 e a câmera dele é ótima.. então é sem comparação.. mas fora isso ele é ótimo..
Smartphone Alcatel Pixi 4 (5) 5045;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";Deh Russel;06/03/2017;Recomendo este produto;O buscapé nao compara direito!;Aqui nao aparece a opcao da Onofre Store. Comprei o produto la e alem de ser super mais barato do q o site mais barato q mostava aqui o frete foi super barato e a entrega foi mega rapida. Pesquisem melhor pois o buscape nao compara direito os precos.
Smartphone Alcatel Pixi 4 (5) 5045;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;28/08/2017;Recomendo este produto;Muito bom;Recomendo demais o produto já tenho mais de um ano usando na minha casa temos dois muito bom nunca tive problemas com essa marca
Smartphone LG K10 K430;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";maria stella;26/11/2016;Recomendo este produto;muito bom;ele é muito bom ,design bonito e câmera boa etc
Smartphone LG K10 K430;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;02/03/2017;Recomendo este produto;Ótimo produto!;Produto com ótimo custo beneficio, muito bom o manuseio e a câmera é otima.
Smartphone LG K10 K430;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";Andre;25/11/2016;Recomendo este produto;Ótimo smart, recomendo!!!;Aparelho bonito, leve de fácil manuseio, as duas câmeras são legais mas tem dois pontos que deixam a desejar, o auto foco é lento e fotos de macro (próximas) não ficam boas.
Smartphone Quantum MÜV PRO;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;27/02/2017;Recomendo este produto;Otimo;Cumpre o que promete
Smartphone Quantum MÜV PRO;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;26/07/2017;Recomendo este produto;Amei;Adoro meu quantum. Até o momento não apresentou nenhum problema.
Smartphone Quantum MÜV PRO;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;20/06/2017;Recomendo este produto;Sensacional;"Produto muito bom e de fácil manuseio. Recomendo por ser de fácil manuseio  e desing bonito.
Produto com Desing Bonito."
Smartphone Quantum MÜV PRO;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;07/08/2017;Recomendo este produto;Adorei;Não tive nenhum problema até o momento. O modelo é muito bonito. E o preço excelente. Ótimo custo x benefício. Estou adorando.
Smartphone Quantum MÜV PRO;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;01/06/2017;Recomendo este produto;Ótimo Custo-Benefício;Estou com o aparelho há cerca de 15 dias. Aparentemente parece bem resistente?, a bateria dura bastante, é fácil de usar. Câmera razoável. Uma desvantagem é a dificuldade em encontrar? acessórios. Não encontro capinhas e película pro aparelho e pelo site da Quantum o frete sai quase mais caro que o produto. No geral é um aparelho intermediário bom que concorre facilmente com os outros em questão de funções e configuração. Sobre a loja, adoro comprar pela Cissa Magazine pois mesmo sendo por Correios o produto chega bem rápido, bem embalado. Mesmo com a greve dos correios chegou tudo certo e no prazo!
Smartphone Samsung Galaxy J2 SM-J200M;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;20/12/2015;Recomendo este produto;Melhor custo benefício.;Um bom produto. A bateria dura dois dias mesmo usando por horas. A TV tem uma antena melhor que a de outra marca que eu tinha. Apenas não consigo tirar fotos em movimento e no flash às vezes a foto fica clara demais.
Smartphone Samsung Galaxy J2 SM-J200M;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;07/12/2015;Recomendo este produto;Produto bom;Um ótimo celular para quem deseja facilidade e  design. Recomendo a quem goste de usar as redes sociais
Smartphone Samsung Galaxy J2 SM-J200M;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;08/12/2015;Recomendo este produto;Gostei;sou fã da sansung os produtos são otimos...
Smartphone Samsung Galaxy J2 SM-J200M;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;18/12/2015;Recomendo este produto;Gostei;Um ótimo aparelho. Tela de de 4.5, fino e leve. A ativação e configuração inicial do aparelho foi bem fácil e rápida. Gostei bastante de ter dois chips e TV digital.
Smartphone Samsung Galaxy J2 SM-J200M;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;12/12/2015;Recomendo este produto;Bom;Bom custo beneficio
Smartphone Samsung Galaxy J2 SM-J200M;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";Regi;13/06/2016;Recomendo este produto;Aprovado;Para usuários como eu que usa para o básico como redes sociais, fazer e receber ligações, tirar fotos corriqueiras...ele é ótimo. Display e TV com excelente resolução. O que não se pode é querer pagar algo em torno de R$600,00 e exigir algo que só os Tops podem oferecer. Parabéns Shoptime pelo preço nesse produto e pala rapidez na entrega.
Smartphone Samsung Galaxy J2 SM-J200M;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;20/12/2015;Recomendo este produto;Recomendo;Bom celular.
Smartphone Samsung Galaxy J2 SM-J200M;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;28/04/2016;Recomendo este produto;Bom bonito e barato.;Até o momento  estou satisfeita com minha aquisição. Tem respondido as minhas expectativas.
Smartphone Samsung Galaxy J2 SM-J200M;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;01/04/2016;Recomendo este produto;otimo;"aparelho muito bom 
filma em hd , ea tv digital atualiza automaticamente para hd 
muito bom de sinal"
Smartphone Samsung Galaxy J2 SM-J200M;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;08/02/2016;Recomendo este produto;Amei muito bom!;Internet boa, câmera deixa as fotos bonitas.
Smartphone Samsung Galaxy J2 SM-J200M;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;26/01/2016;Recomendo este produto;Melhor marca de celular dual chip;É um celular com uma ótima câmera e é também o celular dual chip com o melhor custo benefício. Comprei um igual para meu marido porque gostei muito do aparelho, mas ele reclamou do tamanho, pois achou-o um pouco grande para colocar no bolso.
Smartphone Samsung Galaxy J2 SM-J200M;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;27/12/2015;Recomendo este produto;Comprei para presentear;Excelente custo-benefício
Smartphone Samsung Galaxy J2 SM-J200M;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;08/06/2016;Recomendo este produto;Recomendo;"Celular com o melhor custo do mercado para que não deseja investir em aparelhos mais sofisticados.
Simples, porém de qualidade."
Smartphone Samsung Galaxy J2 SM-J200M;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;06/06/2016;Recomendo este produto;òtimo Produto recomendo;Muito boa
Smartphone Samsung Galaxy J2 SM-J200M;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;26/05/2016;Recomendo este produto;Melhor custo beneficio;Um smart 4g, dual chip com tv, tela super amoled que atende bem as necessidades.
Smartphone Samsung Galaxy J2 SM-J200M;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;06/02/2016;Recomendo este produto;otimo Smartphone;É um Smartphone completo
Smartphone Samsung Galaxy J2 SM-J200M;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;03/05/2016;Recomendo este produto;j2;Bom custo beneficio!
Smartphone Samsung Galaxy J2 SM-J200M;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;28/04/2016;Recomendo este produto;Preço justo;"Bom aparelho de celular, corresponde as minhas expectativas com câmera, velocidade e capacidade de armazenamento.

Deveriam apenas focar numa bateria mais econômica."
Smartphone Samsung Galaxy On7 SM-G600;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";Thales Freitas;14/02/2016;Recomendo este produto;Muito bom, gostei muito.;Incrível, o smartphone tem as bordas menos arredondadas por isso ele tem aspecto tablet, dando a impressão de que ele é muito grande, o que ser bom para alguns e ruim para outros.Mas em geral é um otimo celular.
Smartphone Samsung Galaxy On7 SM-G600;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;09/12/2015;Recomendo este produto;Excelente Custo / Benefício;Excelente Custo / Benefício
Smartphone Samsung Galaxy On7 SM-G600;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;22/03/2016;Recomendo este produto;Muito bom!;Lindo, tela de 5.5, não trava. O preço estava bom.
Smartphone Samsung Galaxy On7 SM-G600;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;01/08/2016;Recomendo este produto;Paguei e não recebi o produto;Parece ser muito lindo, mas infelizmente comprei no site da empresa ClickDireto e não recebi o produto.Paguei via boleto,ou seja a vista e não recebi o produto.
Smartphone Samsung Galaxy On7 SM-G600;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;17/01/2016;Recomendo este produto;Custo x beneficio;Muito bom o custo x beneficio, recomendo.
Smartphone Samsung Galaxy On7 SM-G600;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;04/12/2015;Recomendo este produto;"é um bom aparelho para ser utilizado no dia a dia;;;";O produto é novo, mais até o momento estou satisfeito com o produto
Smartphone Samsung Galaxy On7 SM-G600;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;14/01/2016;Recomendo este produto;Top!;Belo Smartphone.
Smartphone Samsung Galaxy On7 SM-G600;"celular-e-smartphone?precomin=0&precomax=600&xro=0
";e-bit;12/01/2016;Recomendo este produto;Recomendo;Muito boa, um telefone ágil e com bom design.
Smartphone Motorola Moto G 5 XT1672;"celular-e-smartphonemotorola
";e-bit;30/03/2017;Recomendo este produto;muito bom;celular muito bom e rápido. a bateria dura bastante com uso considerável. o android é bem limpo. muito bom. só a câmera que, apesar de ter 13 MP, decepciona um pouco na qualidade e definição das imagens.
Smartphone Motorola Moto G 5 XT1672;"celular-e-smartphonemotorola
";Thiago Vicente Batista;30/03/2017;Recomendo este produto;Incrível! O melhor custo benefício!;Incrível! Como comprei receioso por ter menos de um mês de lançamento estou surpreendido com o MotoG5! Pra quem gosta de *** redes sociais, jogar, acesso a internet/email, detalhe tudo simultâneo, sem perder desempenho, neste custo benefício não tem outro igual! Câmeras excelentes frontal q tem a opção de flash embutido (as selfies noturnas ficam ótimas) e a traseira q faz excelentes vídeos. Para meu perfil de uso, só faltou poder configurar o volume das notificações sem alterar o volume do toque de chamada, o que não é possível. Lenovo está de parabéns por lançar aparelhos na categoria Prime a custos abaixo dos R$.1000,00.
Smartphone Motorola Moto G 5 XT1672;"celular-e-smartphonemotorola
";e-bit;27/03/2017;Recomendo este produto;Satisfação plena.;Estou com o aparelho há pouco menos de 20 dias mas, estou muito satisfeito. Espero que dure muito e tenha um ótimo custo-benefício.
Smartphone Motorola Moto G 5 XT1672;"celular-e-smartphonemotorola
";LuskaGarcia;23/03/2017;Recomendo este produto;Produto Otimo e de Bom custo beneficio;O celular tem um otimo custo beneficio,ao olharmos em foto e video para que seu design e feio mais ao olharmos de perto ele e lindo,a duraçao da bateria vai ate o fim do dia,claro que em usos nao extremos,nao possui engasmos,tem bastante bateria,o unico ruim e a camera frontal mais nao aquelas coisas mais nao e tao boa quanto parece
Smartphone Motorola Moto G 5 XT1672;"celular-e-smartphonemotorola
";marcelo;30/03/2017;Recomendo este produto;Excelente aparelho!;Fiz um upgrade de um celular aparelho com menos processamento e memória e estou muito feliz com o novo aparelho. Muito boa a função de desbloquear e bloquear a tela com o sensor de impressão digital
Smartphone Motorola Moto G 5 Plus XT1683;"celular-e-smartphonemotorola
";e-bit;05/04/2017;Recomendo este produto;Mais um aparelho maravilhoso!;Este é o meu terceiro aparelho da Motorola e não compraria um de outra marca!
Smartphone Motorola Moto G 5 Plus XT1683;"celular-e-smartphonemotorola
";e-bit;07/04/2017;Recomendo este produto;Mais um aparelho de qualidade!;Meu terceiro smartphone da linha e mais um produto de qualidade!
Smartphone Motorola Moto Z 2 Play XT1710;"celular-e-smartphonemotorola
";e-bit;01/08/2017;Recomendo este produto;Porque Diminuíram a Bateria?;Porque não fizeram o Moto Z2 play com a mesma bateria do primeiro?
Smartphone Motorola Moto Z 2 Play XT1710;"celular-e-smartphonemotorola
";e-bit;13/07/2017;Recomendo este produto;Otimo;Incrivel
Smartphone Motorola Moto G 4 Plus XT1640;"celular-e-smartphonemotorola
";;21/07/2016;Recomendo este produto;Melhor custo-benefício;"O comprei há uma semana e de cara já percebi a diferença do meu anterior, principalmente em relação à bateria e à câmera. É sem dúvida o melhor custo-benefício. E o melhor é o leitor de impressão digital.

Câmera:
A câmera é excelente e é bem perceptível a velocidade com que tira fotos. As fotos saem muito boas também. Não é à toa que o site DxOMark, que avalia as melhores câmeras de smartphones, colocou o Moto G 4 Plus em 4º lugar, junto com outros celulares que custam entre 2 e 3 mil reais.

Bateria:
A bateria tem levado cerca de uma hora pra carregar toda. Eu o deixo pela parte da tarde, assim, fica 23h por dia sem ver carregado, e, antes de colocá-lo na tomada, ainda tem, no mínimo, 10% de carga. E eu o utilizo de modo médio a intenso, tem uma boa autonomia.

Leitor de impressão digital:
O bom desse leitor é que dá pra colocar só a pontinha do dedo e ele já reconhece e é bem rápido também. Comparei com outro celular de um amigo que também tem leitor de digitais e nem se compara, esse motorola lê bem mais rápido, a diferença é que não é botão, mas pra mim não prejudica a experiência. É um atrativo em relação aos outros, acho um saco ter que desbloquear fazendo aquele desenho na tela."
Smartphone Motorola Moto G 4 Plus XT1640;"celular-e-smartphonemotorola
";kleyton;23/08/2016;Recomendo este produto;Um ótimo amigo.;"O produto é muito bom, câmera muito top com foco realmente rápido, carregamento ultra rápido. Mais não quer dizer que ele não tenha seus defeitos, estou com ele a quase 4 meses e no decorrer deste tempo pudi ver e posso confirmar algumas coisas, começaremos pela ""BATERIA"".: 3000mAh, uma quantidade muito boa de mAh mais poderia ser melhor com 3200 ou 3400mAh, pelo fato da tela ser 0,5 polegadas maior que seu antecessor (o moto g 3ª).
""TELA'': tela muito boa, me ofereceu muitas variedades, muitas cores, e otima para assistir filmes/series ou videos com 5,5 polegadas, como eu creio que todos sabem a tela do moto g 4 plus é FULL HD, mas seria bem vinda um tela AMOLED pois tem maior resolução e mais destacamento das cores.
""DESING"" não a o que falar sobre o desing o aparelho quando olhado pelo pc não era atraente, mas ao ver em tempo real pessoalmente ele é muito lindo (de verdade).
""RAM"" poderia vir com uma versão de 4g de ram como nos Estados Unidos.
""BUGS"" ele não é o celular perfeito, e sim ele tem seus bugs, muitos raros na verdade mas ainda assim existem (sobre MUITO uso intenso). Ja aconteceu de estar ultilizando o aparelho durante 8 hrs sem para e entre 7:20 hrs ele deu um bug mas nada fora do normal.
""NANOREVESTIMENTO"" O nanorevestimento ajuda bastante na hora de uma chuva, mais vem a desejar a certificação IPX7, para ser mais resistente a agua ou para tirar fotos em piscinas como realmente desejamos.

Então é isso muito obrigado por lerem e espero que tenha ajudado!"
Smartphone Motorola Moto G 4 Plus XT1640;"celular-e-smartphonemotorola
";eduardo_ohtoshi;31/07/2016;Recomendo este produto;Excelente produto!;Rápido, eficiente! Câmera rápida, sem engasgos, possibilidade de transformar o cartão SD em memória interna graças ao Marshmellow 6.0, esquenta pouco mesmo quando executando jogos mais pesados, carregamento turbo  faz com que o aparelho esteja 100% em menos de 1h a depender das condições, bateria que chega a 2 dias se o uso for moderado! Excelente pedida para quem quer um aparelho competente mas sem dispender um valor tão alto!
Smartphone Motorola Moto G 4 Plus XT1640;"celular-e-smartphonemotorola
";e-bit;18/07/2016;Recomendo este produto;moto g4;é um ótimo aparelho, com preço razoável, vale a pena o investimento para quem não tem condições de comprar um top de linha. lembrando que quase todas as funções dos aparelhos top de linha o moto g4plus consegue realizar perfeitamente
Smartphone Motorola Moto G 4 Plus XT1640;"celular-e-smartphonemotorola
";DAvi S. O. Boschi;03/09/2016;Recomendo este produto;Excelente escolha!;"Saí de um Sony ZQ que era excelente, tanto é que ia fazer 3 anos de uso e ainda vendi por um preço bom para pegar o Moto G4 Plus. Estou gostando muito do celular por alguns quesitos:

- O leitor de digitais realmente facilita demais, já me peguei automaticamente colocando a digital em outro celular que não tinha (cena ridícula). Quando comprei achei isso ""legalzinho"", não foi fator determinante, mas é como disseram caminho sem volta, você tem mt segurança e ao mesmo tempo é muito prático e funciona muito bem

- Achei a tela muito boa, ela é 1080p mas o Xperia ZQ apesar de ter 3 anos de uso também era, mas essa tela do G4 Plus é muito mais nítida e gostei também do brilho da tela, nem se compara, muito superior mesmo sendo LCD ambas. Eu vinha de um celular 5'' e queria experimentar um de 5,5'', gostei bastante mas cheguei a conclusão que esse é o limite para conseguir usar com uma mão só (em alguns momentos exige as duas).

- O celular é Octa-Core, muito rápido pelo preço que tem e levemente superior ao Moto X Play, 2gb de RAM que hoje em dia é um padrão bom por essa faixa de preço

- A câmera apesar de ter menos MP que o Moto X Play que tem 21mp enquanto o G4 Plus tem 16, nos reviews a câmera se mostrou superior principalmente em fotos com pouca luminosidade e realmente comprovei isso, ou seja, a câmera é muito boa não tenho do que reclamar

- Vem com turbo charger, realmente carrega 100% em menos de uma hora e com 15 minutos de carga já carrega bastante, é muito rápido"
Smartphone Motorola Moto G 4 XT1626;"celular-e-smartphonemotorola
";e-bit;27/07/2016;Recomendo este produto;ótimo;Coloquei película de vidro para proteção... Coloquei também uma capa tipo livro para proteção... E aí a lanterna e a câmera não liga com o movimento do pulso... Só liga se eu tirar a capinha que coloquei.
Smartphone Motorola Moto Z XT1650 Power Edition;"celular-e-smartphonemotorola
";;26/11/2016;Recomendo este produto;O PREÇO DA RICARDO ELETRO É BLACK FRAUDE;Cuidado esse preço de R$1.199,00 da Ricardo eletro é falso. É um BLACK FRAUDE.
Smartphone Motorola Moto Z Play XT1635 Power Edition;"celular-e-smartphonemotorola
";Hermógenes Alves Domingos;27/03/2017;Recomendo este produto;Sensacional;Até agora o melhor celular que tive. Para o bolso do brasileiro é um pouco salgado, mas vale cada centavo. POr 200 reais a mais comprei com o power snap, assim nas viagens não preciso me preocupar com carregamentos para segurar o Waze, o 4G e a tonelada de fotos.
Smartphone Motorola Moto Z Play XT1635 Power Edition;"celular-e-smartphonemotorola
";e-bit;09/08/2017;Recomendo este produto;Muito bom;"A câmera não tem estabilizador parece, ai grande parte das fotos ficam ""borradas"", tem que tirar pelo menos 3 pra 1 ficar boa."
Smartphone Motorola Moto Z Play XT1635 Power Edition;"celular-e-smartphonemotorola
";e-bit;27/07/2017;Recomendo este produto;Celular muito bom com ótimo desempenho e excelente qualidade;Ao comprar com a snap de bateria onde posso ter bateria por muito mais tempo fiz um bom negócio.
Smartphone Motorola Moto Z Play XT1635 Power Edition;"celular-e-smartphonemotorola
";e-bit;25/06/2017;Recomendo este produto;Muito bom;Excelente smartphone
Smartphone Motorola Moto Z Play XT1635 Power Edition;"celular-e-smartphonemotorola
";e-bit;06/06/2017;Recomendo este produto;Excelente produto!;Eu dei esse smartphone para o meu filho e segundo ele, o aparelho é excelente, sobretudo a bateria que dura bastante, mesmo sem o uso da bateria sobressalente, que no caso do dele veio inclusa na compra.
Smartphone Motorola Moto Z Play XT1635 Power Edition;"celular-e-smartphonemotorola
";e-bit;30/05/2017;Recomendo este produto;Excelente;O Moto Z Play está se mostrando ser um companheiro para todas as horas e situações.
Smartphone Motorola Moto Z XT1650 Style Edition;"celular-e-smartphonemotorola
";e-bit;15/03/2017;Recomendo este produto;Bonitão;Atualizou para Nougat na primeira ligada do aparelho, que é um ponto muito positivo da Motorola. Com facilidade instalei todo que preciso e ainda sobrou 50GB de memória interna. Nunca vou precisar colocar um cartão micro SD. Aparelho rápido com tela excelente. Não entendo porque fabricantes ainda está continuando com outros tipos de telas. Duração da bateria foi uma surpresa muito positiva, devido a pequena capacidade que tem. Para meu uso dura o dia inteiro com sobra de 40%.
Smartphone Motorola Moto Z XT1650 Style Edition;"celular-e-smartphonemotorola
";e-bit;13/03/2017;Recomendo este produto;Melhor aparelho Dual Chip;"Excelente produto.
Câmera muito boa, aparelho é bem fino e leve.
Só a bateria que não dura muito."
Smartphone Motorola Moto Z XT1650 Style Edition;"celular-e-smartphonemotorola
";e-bit;02/04/2017;Recomendo este produto;otimo;é um otimo aparelho,camera muito boa,designer bonito,muita memoria,tanto interna quanto ram,recomendo atodos.
Smartphone Motorola Moto Z XT1650 Style Edition;"celular-e-smartphonemotorola
";e-bit;22/03/2017;Recomendo este produto;Melhor opção da categoria;O Moto Z é o top de linha da Motorola e o hardware mais pesado garante que você não vai precisar trocá-lo tão cedo. Ele é super fino e leve, resultando em menos espaço para a bateria, que apesar disso fica na mesma faixa dos concorrentes (2300mA). A tela tem uma resolução incrível e a câmera também é muito boa, com ajustes profissionais para ter mais controle na hora de clicar. O melhor é que a Motorola tem sido rápida nas atualizações do Android, que é muito próximo do sistema puro do Google. As atualizações são disponibilizadas rapidamente e já estamos com o Nougat 7.0.
Smartphone Motorola Moto Z XT1650 Style Edition;"celular-e-smartphonemotorola
";e-bit;20/02/2017;Recomendo este produto;Produto Excelente;Produto com Design incrível, muito fino que você tem que mudar o jeito de pega-lo para não derrubar. Hardware excelente. Roda tudo.
Smartphone Motorola Moto Z XT1650 Style Edition;"celular-e-smartphonemotorola
";Fernanda Lima Andrade;17/05/2017;Recomendo este produto;Lindo e prático;Gostei da aquisição, e só lamento quanto o áudio q é um pouco baixo comparado a outros modelos. No entanto tem muitos outros pontos positivos, q fazem valer a pena a compra.
Smartphone Motorola Moto Z XT1650 Style Edition;"celular-e-smartphonemotorola
";e-bit;02/04/2017;Recomendo este produto;Bom para o preco;Camera inferior ao samsung s7 e muito fragil
Smartphone Motorola Moto Z XT1650 Style Edition;"celular-e-smartphonemotorola
";e-bit;22/03/2017;Recomendo este produto;otimo;recomendo o smartphone camera muito boa,muita memoria,,porem os sneps sao muito caros.
